keystone,name,Mas,Cri,Ver,Has,Agi,Int,Sta,Lee,Avo,legend1,legend2,trinket1,trinket2,t1,t2,t3,t4,t5,t6,t7
15,Stormsavage,10522,9537,4406,8222,,52949,77952,,,The Dark Titan's Advice,Tearstone of Elune,Unstable Arcanocrystal,Sea Star of the Depthmother,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Scetoh,12293,5500,1070,8881,,57813,76394,749,383,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,Flask of the Solemn Night,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Itsmoosa,12774,7185,1928,6625,,56676,72479,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Kaesyu,6369,9476,4380,6910,,48841,69239,,,Ekowraith  Creator of Worlds,Edraith  Bonds of Aglaya,Darkmoon Deck: Promises,Horn of Valor,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Hotshy,10587,8608,1898,7650,,57933,79205,,,Prydaz  Xavaric's Magnum Opus,Aman'Thul's Wisdom,Darkmoon Deck: Promises,Fluctuating Energy,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Blazyb,2235,12700,5319,9080,,55122,76524,413,,Lady and the Child,Sephuz's Secret,Chrono Shard,Stolen Mana Crystal,Abundance,Displacer Beast,Feral Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
15,Kaesyu,6519,9425,4612,6910,,48841,69521,,,Ekowraith  Creator of Worlds,Edraith  Bonds of Aglaya,Darkmoon Deck: Promises,Horn of Valor,Abundance,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
18,Kw,12408,4439,1664,10460,,55704,74217,,,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,Sea Star of the Depthmother,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Cheeriko,12856,7298,459,8360,,56835,72813,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Zanysin,11730,6343,1700,9571,,56377,74258,429,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Grandpa,7549,7772,3666,11707,,56570,82585,1457,,Aman'Thul's Wisdom,The Dark Titan's Advice,Unstable Arcanocrystal,Darkmoon Deck: Promises,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
18,Leaxajr,8949,7994,1973,8271,,59524,81602,,,Aman'Thul's Wisdom,The Dark Titan's Advice,Etraeus' Celestial Map,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
18,Grodien,12814,7864,4467,8047,,57394,76794,,1297,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Flucloxx,9740,8493,3237,8120,,56377,79050,562,,Prydaz  Xavaric's Magnum Opus,Edraith  Bonds of Aglaya,Sea Star of the Depthmother,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Roxene,14474,5590,2909,11618,,53618,80625,551,,Chameleon Song,Prydaz  Xavaric's Magnum Opus,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
18,Daicymeister,10950,8575,1008,7275,,57887,74342,778,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Dreadstone of Endless Shadows,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
18,Cilnia,6969,7549,2892,9648,,58003,72192,735,,The Dark Titan's Advice,Velen's Future Sight,Etraeus' Celestial Map,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Bearheart,12079,8640,3306,6282,,55519,82739,,,Roots of Shaladrassil,Soul of the Farseer,The Deceiver's Grand Design,Umbral Moonglaives,Torrent,Gust of Wind,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Cloudburst Totem,Ascendance
15,Leaxajr,9171,6984,3597,7386,,59332,81167,,,Aman'Thul's Wisdom,The Dark Titan's Advice,Etraeus' Celestial Map,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
15,Cheeriko,11574,11042,1389,8887,,54669,73140,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Roxene,15534,5590,1899,11418,,53618,80625,551,,Chameleon Song,Prydaz  Xavaric's Magnum Opus,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
15,Scetoh,10089,6969,1070,9616,,57813,76394,749,383,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,Flask of the Solemn Night,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Neryda,9895,8688,3814,6204,,60868,77910,,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Darkmoon Deck: Promises,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Cyberiada,12739,6467,5319,7550,,58614,78271,,594,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Prosperity,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
15,Whyzes,9467,9870,1711,8332,,59330,79871,749,,Prydaz  Xavarics Magnum Opus,Seele des Scharfsehers,Talisman der steigenden Flut,Schreckensstein der endlosen Schatten,Wogen,Agiler Geist,Totem der Blitzwoge,Brandende Wellen,Seelenstärke der Ahnen,Totem des Wolkenbruchs,Aszendenz
15,Avre,11100,8077,2618,11190,,52790,72214,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Chuckx,14050,8465,2021,12181,,54905,76524,457,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Mass Entanglement,Cultivation,Germination,Flourish
15,Cilnia,7546,4330,2892,12062,,57879,71597,735,,The Dark Titan's Advice,Velen's Future Sight,Etraeus' Celestial Map,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
15,Chuckx,11058,7650,2021,10102,,55925,76953,457,,Aman'Thul's Wisdom,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Cenarion Ward,Displacer Beast,Feral Affinity,Mass Entanglement,Cultivation,Germination,Flourish
18,Leaxajr,9626,9154,1783,7370,,60225,78490,763,,Soul of the Archdruid,Velen's Future Sight,Chrono Shard,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
15,Roxene,13629,8651,2126,11193,,52035,80061,996,,Prydaz  Xavaric's Magnum Opus,Chatoyant Signet,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Feral Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
15,Giha,10829,6664,2427,7118,,56634,73450,,594,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Darkmoon Deck: Promises,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Neerves,12072,5287,4449,6778,,58947,80003,,,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,Chrono Shard,Infernal Writ,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Shawydruid,9313,9357,3623,10222,,50265,77244,603,,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,The Deceiver's Grand Design,Unstable Arcanocrystal,Cenarion Ward,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
18,Yabolish,12167,12023,,4419,,58300,75336,,,Roots of Shaladrassil,Velen's Future Sight,Huge Roggstone,Velen's Future Sight,Undulation,Gust of Wind,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
18,Roxene,14828,7627,2538,9221,,52705,78551,,735,Prydaz  Xavaric's Magnum Opus,Aman'Thul's Wisdom,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Moment of Clarity
18,Neryda,11520,6132,3028,7947,,57397,76198,511,,Soul of the Archdruid,Velen's Future Sight,Velen's Future Sight,Perfectly Preserved Cake,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Zanysin,12529,6236,1049,9835,,57100,76081,429,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Grodien,9777,10730,3062,8202,,57525,74727,,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Abundance,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Jaydaa,7016,14478,2272,8157,,57060,74179,,562,The Dark Titan's Advice,Velen's Future Sight,Chalice of Moonlight,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Toroidal,10999,7997,1205,9172,,57147,80912,,445,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Etraeus' Celestial Map,Chrono Shard,Torrent,Gust of Wind,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
18,Hotshy,11839,6022,1898,6322,,58528,78888,,,Aman'Thul's Wisdom,Soul of the Archdruid,Darkmoon Deck: Promises,Fluctuating Energy,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
18,Kw,12533,6634,344,10146,,56175,76590,,,The Dark Titan's Advice,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Iuffy,14007,7226,2554,9561,,55945,78109,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Unstable Arcanocrystal,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Illiri,11739,9854,2563,5429,,57662,80081,605,583,Soul of the Farseer,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Undulation,Wind Rush Totem,Lightning Surge Totem,Ancestral Guidance,Ancestral Protection Totem,Cloudburst Totem,Ascendance
18,Leaxajr,9129,8658,2848,6076,,56815,77320,763,735,Aman'Thul's Wisdom,The Dark Titan's Advice,Etraeus' Celestial Map,Dreadstone of Endless Shadows,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Roxene,13629,9026,2126,10818,,52035,80061,996,,Prydaz  Xavaric's Magnum Opus,Chatoyant Signet,Unstable Arcanocrystal,The Deceiver's Grand Design,Abundance,Displacer Beast,Feral Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
18,Tayak,7096,8391,3999,12669,,55075,77816,,,Seele des Erzdruiden,Velens Blick in die Zukunft,Velens Blick in die Zukunft,Instabiler Arkanokristall,Üppigkeit,Phasenbestie,Wächteraffinität,Taifun,Grüner Daumen,Verschmelzung,Gedeihen
18,Spirit,11987,6217,,11860,,56071,73275,735,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Mighty Bash,Incarnation: Tree of Life,Germination,Flourish
18,Mistginn,10719,6581,2931,9163,,56202,74491,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Darkmoon Deck: Promises,Velen's Future Sight,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Mercyd,7229,7260,2145,11489,,57506,78174,,583,Prydaz  Xavaric's Magnum Opus,Soul of the Archdruid,Flask of the Solemn Night,Darkmoon Deck: Promises,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Daxie,14699,4505,2448,8858,,55762,73466,583,763,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Cenarion Ward,Displacer Beast,Guardian Affinity,Mighty Bash,Cultivation,Germination,Flourish
18,Isabelluh,10332,7071,3022,10796,,56986,77087,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Shaundles,11990,8076,4353,7926,,49994,80490,,445,Prydaz  Xavaric's Magnum Opus,Tearstone of Elune,The Deceiver's Grand Design,Aluriel's Mirror,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Tiddlestotem,11910,11359,1041,6322,,56318,78058,562,763,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,Fluctuating Energy,The Deceiver's Grand Design,Undulation,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Earthen Shield Totem,Echo of the Elements,Ascendance
16,Furtank,14536,5435,1948,10659,,55640,74891,,,Tearstone of Elune,Velen's Future Sight,Dreadstone of Endless Shadows,Velen's Future Sight,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
18,Timshaman,12239,13508,2406,5383,,49949,73611,,,Prydaz  Xavaric's Magnum Opus,Sephuz's Secret,The Deceiver's Grand Design,Unstable Arcanocrystal,Undulation,Graceful Spirit,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
16,Gaokerena,10307,7023,2450,9977,,54340,73820,1118,,Sephuz's Secret,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Triixlol,13253,7027,907,7963,,53228,73174,749,,Aman'Thul's Wisdom,Velen's Future Sight,Velen's Future Sight,The Deceiver's Grand Design,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Bearheart,12079,8640,3306,6282,,56884,82739,,,Roots of Shaladrassil,Soul of the Farseer,The Deceiver's Grand Design,Umbral Moonglaives,Torrent,Gust of Wind,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Cloudburst Totem,Ascendance
16,Chesschamp,10051,3806,1746,10596,,52964,78016,1162,,Chameleon Song,The Dark Titan's Advice,Dreadstone of Endless Shadows,Sea Star of the Depthmother,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Moment of Clarity
16,Omita,12946,8997,1002,5155,,54607,75305,,413,Roots of Shaladrassil,Soul of the Farseer,The Deceiver's Grand Design,Chalice of Moonlight,Torrent,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Earthen Shield Totem,Cloudburst Totem,Ascendance
17,Drucuru,12143,9094,3405,9655,,51769,77878,,466,Prydaz  Xavaric's Magnum Opus,Tearstone of Elune,Brinewater Slime in a Bottle,Unstable Arcanocrystal,Cenarion Ward,Wild Charge,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
16,Therealfear,6979,7542,4879,9620,,53265,73519,735,437,Aman'Thul's Wisdom,Velen's Future Sight,Heightened Senses,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Incarnation: Tree of Life,Germination,Flourish
16,Kaesyu,6369,9476,4376,6910,,48841,69239,,,Ekowraith  Creator of Worlds,Edraith  Bonds of Aglaya,Darkmoon Deck: Promises,Horn of Valor,Abundance,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Casualgurra,12219,7744,1124,10445,,57301,78181,541,838,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Ethereal Urn,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Kermrise,10480,7152,4783,8669,,50805,78115,,511,Prydaz  Xavaric's Magnum Opus,Lady and the Child,The Deceiver's Grand Design,Fury of the Burning Sky,Cenarion Ward,Displacer Beast,Feral Affinity,Typhoon,Cultivation,Germination,Flourish
17,Cynlikeme,13037,9417,1564,7103,,59943,83037,1177,792,Prydaz  Xavaric's Magnum Opus,Roots of Shaladrassil,The Deceiver's Grand Design,Chalice of Moonlight,Undulation,Graceful Spirit,Lightning Surge Totem,Crashing Waves,Ancestral Vigor,Echo of the Elements,Ascendance
17,Xerase,10923,6119,6041,8024,,59141,80246,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Reptaur,15245,6477,5021,6482,,52917,71337,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,Velen's Future Sight,Unstable Arcanocrystal,Cenarion Ward,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Stonebark
17,Xerase,10923,6119,6041,8024,,59141,80246,,,Prydaz  Xavaric's Magnum Opus,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Prosperity,Displacer Beast,Guardian Affinity,Typhoon,Cultivation,Germination,Flourish
17,Tiddlestotem,11175,11503,518,6327,,56301,76865,,,Roots of Shaladrassil,Velen's Future Sight,The Deceiver's Grand Design,Velen's Future Sight,Undulation,Graceful Spirit,Lightning Surge Totem,Ancestral Guidance,Ancestral Vigor,Echo of the Elements,Ascendance
