keystone,name,Mas,Cri,Ver,Has,Agi,Int,Sta,Lee,Avo,legend1,legend2,trinket1,trinket2,t1,t2,t3,t4,t5,t6,t7
15,Rentari,7636,5100,6683,8527,34875,,128831,,,Luffa Wrappings,Sephuz's Secret,Horn of Valor,Feverish Carapace,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
19,Brathx,6010,3823,11569,7749,38145,,85120,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Brathx,5421,4523,9929,9062,37962,,82955,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
19,Auvers,9359,7248,3396,6337,39732,,86160,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Bloodthirsty Instinct,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
15,Emangle,7756,5384,3115,10374,40252,,136368,,,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Command,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
15,Shirayukixo,6272,3639,5173,11131,39409,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
15,Tobs,11429,4473,9140,7171,33972,,134857,,,Ekowraith  Creator of Worlds,Luffa Wrappings,Unstable Arcanocrystal,Terrorbound Nexus,Blood Frenzy,Guttural Roars,Restoration Affinity,Typhoon,Incarnation: Guardian of Ursoc,Survival of the Fittest,Rend and Tear
15,Troublemaker,4047,7115,9476,7069,36983,,80005,534,,Luffa Wrappings,Sephuz's Secret,Eye of Guarm,Memento of Angerboda,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
15,Shirayukixo,7231,3639,5107,10345,39258,,81611,541,562,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
15,Substratum,9538,6496,3498,9010,38530,,81591,,,Elize's Everlasting Encasement,Luffa Wrappings,Unstable Arcanocrystal,Feverish Carapace,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
15,Shirayukixo,6351,3639,5525,10857,39441,,82065,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
15,Tensoon,9023,3616,5664,8468,40184,,85587,,792,Ekowraith  Creator of Worlds,Luffa Wrappings,Feverish Carapace,Memento of Angerboda,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
18,Hexz,7373,7218,5016,6199,38377,,130078,,,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Nightmare Egg Shell,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Bumkinzz,9627,3247,6201,7040,39162,,83281,,,Lady and the Child,Fury of Nature,Deteriorated Construct Core,Chrono Shard,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Sideburny,4845,4977,6935,9366,38488,,128620,1145,,Ekowraith  Creator of Worlds,Luffa Wrappings,Deteriorated Construct Core,Chrono Shard,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Auvers,9995,6130,4150,6237,40295,,86233,,,Luffa Wrappings,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Bristling Fur,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Auvers,10738,5721,3396,6764,40730,,87316,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Bristling Fur,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Bumkinzz,9940,3112,5690,8641,39261,,83776,,,Luffa Wrappings,Fury of Nature,Rocksunder Lucky Statue,Chrono Shard,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Cemrage,7299,4802,6032,9535,37994,,140715,567,,Elize's Everlasting Encasement,Luffa Wrappings,Chaos Talisman,Memento of Angerboda,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Hexz,9467,7919,4655,4115,38621,,132806,,,Elize's Everlasting Encasement,Luffa Wrappings,Deteriorated Construct Core,Nightmare Egg Shell,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Trojiln,11069,7565,7263,4584,34685,,80025,,,Elize's Everlasting Encasement,Luffa Wrappings,Umbral Moonglaives,Unstable Arcanocrystal,Blood Frenzy,Guttural Roars,Restoration Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Hexz,9467,7919,4655,4115,38420,,132806,,,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Nightmare Egg Shell,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Brathx,4983,5252,9929,8771,37962,,82955,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Hexz,9467,7919,5030,3740,38420,,132669,,,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Nightmare Egg Shell,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Xanaqt,11006,3506,2256,8585,39806,,80376,792,,Elize's Everlasting Encasement,Luffa Wrappings,Nightmare Egg Shell,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
16,Shirayukixo,5315,3528,4989,11443,38646,,79454,541,562,Lady and the Child,Luffa Wrappings,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Mighty Bash,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Hexz,9467,7919,5030,3740,38621,,132669,,,Elize's Everlasting Encasement,Luffa Wrappings,Deteriorated Construct Core,Nightmare Egg Shell,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Ashthar,7782,2489,10224,6504,39363,,83079,,,Luffa Wrappings,Fury of Nature,Memento of Angerboda,Eye of Guarm,Brambles,Wild Charge,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
20,Emangle,5694,8077,5667,9048,38681,,139104,,,Lady and the Child,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,5949,8357,5667,8325,37916,,83567,,,Luffa Wrappings,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Brathx,5421,4523,9554,9062,38787,,135155,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Auvers,10738,5721,3021,6764,41230,,142106,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Doppelkaiser,4629,9043,5413,8730,36891,,134768,562,749,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Horn of Valor,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Auvers,8616,7657,4150,5810,39297,,138466,,,Luffa Wrappings,Fury of Nature,Memento of Angerboda,Bloodthirsty Instinct,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Hexz,11062,7045,4169,3505,39302,,135053,,,Elize's Everlasting Encasement,Luffa Wrappings,Nightmare Egg Shell,Darkmoon Deck: Immortality,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Emangle,7903,4461,4561,11107,37770,,135742,,,Lady and the Child,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Auvers,9460,6836,4091,8652,40860,,84884,,,Dual Determination,Archimonde's Hatred Reborn,Archimonde's Hatred Reborn,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,7903,4461,4561,11107,38095,,135742,,,Lady and the Child,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Doppelkaiser,4629,9043,5413,8730,37216,,134768,562,749,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Horn of Valor,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Brathx,6010,3823,11944,7749,40645,,145269,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Auvers,9359,7248,3546,6337,40028,,140226,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Fang of Tichondrius,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,8186,4741,4561,10061,38160,,133980,,,Luffa Wrappings,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Auvers,9750,5721,2421,8941,40730,,87690,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Auvers,10738,5721,3396,6764,41055,,87316,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,7756,5384,3115,10374,40252,,136368,,,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Command,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
17,Fraenkedde,9597,7914,4460,5699,39178,,136505,,,Elizes ewigwährende Einhüllung,Luffawickel,Chronosplitter,Talisman des Blenders,Blutraserei,Wilde Attacke,Gleichgewichtsaffinität,Taifun,Inkarnation: Wächter von Ursoc,Wächter von Elune,Beißen und Reißen
15,Fraenkedde,9597,9383,3631,5306,37878,,136764,,,Elizes ewigwährende Einhüllung,Luffawickel,Chronosplitter,Talisman des Blenders,Blutraserei,Wilde Attacke,Gleichgewichtsaffinität,Taifun,Inkarnation: Wächter von Ursoc,Wächter von Elune,Beißen und Reißen
18,Shirayukixo,6272,3639,5173,11131,39409,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Auvers,10738,5721,3021,6764,41230,,142106,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Nyph,8297,5331,5336,6807,38341,,132541,,,Lady and the Child,Luffa Wrappings,Feverish Carapace,Darkmoon Deck: Immortality,Brambles,Guttural Roars,Restoration Affinity,Mighty Bash,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Shirayukixo,6272,3639,5173,11131,39409,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Ashthar,8452,3254,15720,5829,39749,,135459,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Eye of Guarm,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
18,Auvers,10805,6836,4091,8652,38050,,84797,,,Dual Determination,Archimonde's Hatred Reborn,Archimonde's Hatred Reborn,Shifting Cosmic Sliver,Bristling Fur,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Survival of the Fittest,Rend and Tear
18,Emangle,8186,4741,4561,10436,37660,,82323,,,Luffa Wrappings,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Shirayukixo,6272,3639,5173,11131,39409,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Sinclaw,8878,5288,6819,4811,39025,,134407,,,Elize's Everlasting Encasement,Luffa Wrappings,Darkmoon Deck: Immortality,Feverish Carapace,Brambles,Wild Charge,Balance Affinity,Mighty Bash,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
18,Shirayukixo,6272,3639,5173,11131,39409,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Hexz,11062,7045,4544,3505,39302,,135053,,,Elize's Everlasting Encasement,Luffa Wrappings,Nightmare Egg Shell,Darkmoon Deck: Immortality,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
18,Shirayukixo,7231,3639,5107,10345,39258,,81611,541,562,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Emangle,7756,5384,3115,9999,39927,,83789,,,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Command,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
18,Brathx,4983,5252,9554,8771,38462,,82955,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Auvers,9359,7248,3396,6337,38432,,86160,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Bloodthirsty Instinct,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Shirayukixo,6272,3639,5173,11131,39734,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
18,Hexz,9467,7919,5030,3740,38621,,132669,,,Elize's Everlasting Encasement,Luffa Wrappings,Deteriorated Construct Core,Nightmare Egg Shell,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
18,Emangle,7756,5384,3115,10374,39927,,136368,,,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Command,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
18,Trojiln,11069,7565,7263,4584,34885,,80025,,,Elize's Everlasting Encasement,Luffa Wrappings,Umbral Moonglaives,Unstable Arcanocrystal,Blood Frenzy,Guttural Roars,Restoration Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Auvers,9995,6130,3775,6237,41120,,86233,,,Luffa Wrappings,Fury of Nature,Memento of Angerboda,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Ashthar,7073,2051,8689,8075,39950,,85014,,763,Lady and the Child,Luffa Wrappings,Vial of Ceaseless Toxins,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
20,Auvers,11080,8304,5066,4182,37696,,88484,,,Dual Determination,Archimonde's Hatred Reborn,Archimonde's Hatred Reborn,Animated Exoskeleton,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
16,Hexz,5799,8951,4541,7570,36152,,123688,,511,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Guarm,Hunger of the Pack,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Brathx,4495,6151,9270,8633,41826,,148458,838,,Lady and the Child,Fury of Nature,Chrono Shard,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Brathx,4983,5252,9929,8771,37962,,82955,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,5694,8077,5667,9048,38681,,139104,,,Lady and the Child,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,8186,4741,4561,10436,37660,,82323,,,Luffa Wrappings,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Brathx,6010,3823,11363,7435,37045,,137047,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Mighty Bash,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,6614,7830,5667,8049,39408,,86035,,,Elize's Everlasting Encasement,Luffa Wrappings,Umbral Moonglaives,Deteriorated Construct Core,Blood Frenzy,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Auvers,10157,8118,4688,7057,39252,,88575,,,Elize's Everlasting Encasement,Luffa Wrappings,Memento of Angerboda,Unstable Arcanocrystal,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Shirayukixo,6272,3639,5173,12379,37766,,81982,541,,Lady and the Child,Fury of Nature,Draught of Souls,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Brathx,4495,6151,9270,8633,39326,,141715,838,,Lady and the Child,Fury of Nature,Chrono Shard,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Emangle,7756,5384,3115,10374,40252,,136368,,,Elize's Everlasting Encasement,Luffa Wrappings,Eye of Command,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
20,Ashthar,7073,2051,8689,8075,39950,,85014,,763,Lady and the Child,Luffa Wrappings,Vial of Ceaseless Toxins,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Pulverize
20,Auvers,9359,7248,3396,6337,39732,,140226,,,Lady and the Child,Fury of Nature,Memento of Angerboda,Bloodthirsty Instinct,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
20,Shirayukixo,6272,3639,5173,11131,39734,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
17,Brathx,5421,4523,9554,9062,40462,,141891,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
17,Brathx,5421,4523,9929,9062,37962,,83044,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
17,Sideburny,4862,8463,1429,9828,35987,,129565,1145,,Elize's Everlasting Encasement,Luffa Wrappings,Chrono Shard,Deteriorated Construct Core,Bristling Fur,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
17,Shirayukixo,6272,3639,5173,11131,39734,,81982,541,,Lady and the Child,Fury of Nature,Bloodthirsty Instinct,Feverish Carapace,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
17,Tobs,11429,4473,9140,7171,33472,,81629,,,Ekowraith  Creator of Worlds,Luffa Wrappings,Unstable Arcanocrystal,Terrorbound Nexus,Blood Frenzy,Guttural Roars,Restoration Affinity,Typhoon,Incarnation: Guardian of Ursoc,Survival of the Fittest,Rend and Tear
17,Hexz,9467,7919,4659,3740,38420,,132806,,,Elize's Everlasting Encasement,Luffa Wrappings,Nightmare Egg Shell,Darkmoon Deck: Immortality,Blood Frenzy,Wild Charge,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
17,Brathx,4983,5252,9929,8771,37962,,82955,838,,Lady and the Child,Fury of Nature,Cruel Gladiator's Accolade of Conquest,Umbral Moonglaives,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
17,Izaya,5568,7357,11503,6830,35515,,135689,,572,Elize's Everlasting Encasement,Luffa Wrappings,Horn of Valor,Unstable Arcanocrystal,Bristling Fur,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Survival of the Fittest,Rend and Tear
17,Emangle,8186,4741,4561,10436,37335,,82323,,,Luffa Wrappings,Fury of Nature,Umbral Moonglaives,Deteriorated Construct Core,Brambles,Guttural Roars,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Rend and Tear
17,Izaya,5402,6024,10215,5557,36291,,129413,,572,Elize's Everlasting Encasement,Luffa Wrappings,Memento of Angerboda,Horn of Valor,Brambles,Guttural Roars,Balance Affinity,Typhoon,Incarnation: Guardian of Ursoc,Guardian of Elune,Rend and Tear
17,Prophis,4737,6489,6441,8494,38104,,129651,,572,Lady and the Child,Fury of Nature,Forest Creeper's Guile,Memento of Angerboda,Brambles,Wild Charge,Balance Affinity,Typhoon,Galactic Guardian,Guardian of Elune,Lunar Beam
